exploration_constant,progressive_widening_constant,progressive_widening_exponent,early_cut_off_depth,progressive_widening_initial_threshold,progressive_widening_decay_rate,early_cut_off_lower_bound,early_cut_off_upper_bound,meta_weight_base,meta_weight_progress_offset,meta_cell_big_threat,meta_cell_small_threat,constraint_factor,free_choice_constraint_factor,direct_loss_value,average_score
1.325,1.321,0.383,18.945,0.716,0.907,0.067,0.930,0.383,0.309,3.874,1.244,1.339,1.339,0.025,0.760
1.058,2.107,0.344,18.833,0.887,0.809,0.003,0.903,0.355,0.215,3.113,0.876,1.631,1.500,0.017,0.750
1.307,1.051,0.387,25.041,0.621,0.923,0.059,0.976,0.588,0.381,2.266,1.234,1.022,1.411,0.004,0.745
1.491,1.276,0.516,15.294,0.678,0.844,0.011,0.971,0.575,0.203,3.361,0.928,1.099,1.615,0.004,0.735
1.383,2.487,0.361,17.471,0.684,0.932,0.010,0.909,0.511,0.367,3.941,1.497,1.530,1.785,0.002,0.730
1.388,1.055,0.421,17.491,0.621,0.858,0.078,0.975,0.433,0.337,3.559,0.948,1.852,1.593,0.023,0.725
1.269,1.788,0.430,17.471,0.704,0.929,0.060,0.945,0.600,0.286,2.662,1.168,1.619,1.939,0.016,0.720
1.134,1.933,0.455,17.500,0.695,0.928,0.034,0.914,0.341,0.275,3.946,1.078,1.085,1.704,0.023,0.715
1.145,2.567,0.364,16.862,0.682,0.949,0.058,0.923,0.469,0.210,3.092,1.449,1.023,1.912,0.021,0.710
1.637,1.295,0.383,17.438,0.750,0.803,0.086,0.975,0.356,0.331,2.199,1.131,1.031,1.496,0.006,0.705
1.120,1.586,0.378,16.859,0.874,0.810,0.015,0.902,0.571,0.398,2.308,1.260,1.566,1.042,0.002,0.695
1.136,1.354,0.485,15.934,0.601,0.820,0.063,0.966,0.461,0.387,3.348,1.033,1.872,1.450,0.011,0.690
1.025,1.166,0.548,17.620,0.876,0.835,0.077,0.969,0.499,0.215,2.310,0.648,1.843,1.201,0.024,0.685
1.996,1.288,0.338,17.599,0.659,0.804,0.086,0.913,0.452,0.284,3.487,1.007,1.679,1.411,0.021,0.680
1.145,1.718,0.527,17.167,0.633,0.927,0.027,0.936,0.426,0.367,3.061,0.771,1.139,1.245,0.003,0.675
1.244,1.019,0.499,32.635,0.897,0.870,0.078,0.984,0.572,0.247,2.894,1.463,1.065,1.805,0.011,0.670
1.443,1.259,0.365,26.180,0.879,0.873,0.053,0.938,0.366,0.395,2.499,1.299,1.083,1.005,0.018,0.665
1.091,1.913,0.573,18.128,0.721,0.940,0.042,0.956,0.376,0.243,2.987,1.329,1.271,1.972,0.022,0.660
1.155,1.752,0.384,17.614,0.830,0.820,0.079,0.904,0.428,0.295,3.966,0.816,1.781,1.266,0.014,0.655
1.468,2.192,0.396,20.356,0.697,0.929,0.050,0.906,0.590,0.344,3.444,0.576,1.530,1.651,0.013,0.650
